iter	Passed	Remaining
307	4416	9923
308	4427	9902
309	4447	9899
310	4478	9922
311	4481	9882
312	4494	9865
313	4508	9849
314	4512	9813
315	4524	9793
316	4539	9781
317	4542	9742
318	4549	9712
319	4588	9750
320	4591	9711
321	4618	9723
322	4621	9686
323	4638	9677
324	4651	9660
325	4653	9621
326	4698	9669
327	4700	9629
328	4711	9609
329	4719	9582
330	4729	9558
331	4750	9558
332	4754	9522
333	4758	9487
334	4764	9458
335	4771	9430
336	4798	9440
337	4807	9414
338	4827	9412
339	4837	9390
340	4840	9353
341	4842	9317
342	4860	9309
343	4861	9271
344	4863	9234
345	4866	9197
346	4867	9160
347	4869	9123
348	4871	9086
349	4873	9050
350	4878	9021
351	4967	9144
352	4969	9108
353	4971	9072
354	4978	9044
355	4996	9038
356	4998	9002
357	5001	8969
358	5008	8942
359	5013	8912
360	5063	8963
361	5073	8942
362	5075	8907
363	5077	8872
364	5080	8837
365	5084	8807
366	5117	8826
367	5138	8825
368	5141	8792
369	5147	8764
370	5149	8730
371	5155	8703
372	5170	8692
373	5187	8683
374	5190	8650
375	5202	8633
376	5233	8648
377	5243	8628
378	5246	8596
379	5252	8570
380	5258	8543
381	5260	8510
382	5262	8477
383	5268	8451
384	5272	8421
385	5300	8431
386	5305	8403
387	5324	8398
388	5332	8376
389	5334	8344
390	5338	8314
391	5352	8301
392	5367	8290
393	5369	8258
394	5380	8241
395	5420	8266
396	5444	8269
397	5449	8243
398	5457	8220
399	5475	8213
400	5478	8182
401	5493	8171
402	5514	8169
